model_uid,x,y,z
a049baa005da476bb7ffe1df5e6b4f78,-90,0,-10
836630c9eb6344878f5b3e72aaa37f8b,90,47,0
77d11d8ec01e424e829b9914c388b0a1,95,45,0
c9c8bce4d27a4fef88622682bf2741b1,0,10,-135
991d3fd5aab643609819ade2a1df1eb2,-90,15,-5
89fdc50c378c4b8ea4348f673318a179,-90,15,0
f5a96c73c0eb49a1b787ae258eb02891,-90,15,0
ab333c7e6d0f41cbafbbc36b634488a5,90,15,0
fbe2776af5f44d83bb32e6633d151178,-90,0,0
72aba513c29241a3a0843a14dba596a5,-90,-15,-25
7bbe7a566f074896b9cffea1e353275a,-90,-15,0
036abe36af224e588d3f573f44c24ab3,-90,45,0
3af9453ca5694a3aae66a05f27d94881,90,90,10
c7c762e635ab4403b7363860665009ac,-90,0,0
07ad36c0658e4eafa91f0137e49fad58,180,0,10
5cd861450b544fccb7ac3ecf525afadd,-90,0,0
c5374274b68e4d338880f6d7ac79e062,-90,0,0
d9fa455509ea4bc4b9acde9b7d20df14,-90,0,0
ec08a45c7aa74ed4945827c47912b0c4,90,0,0
bc99f1acf7764a91ba6800864c6124c2,-90,0,0
5e39b7649dc4456e9b911059a3c4c0ba,-90,0,0
ccdf0d3aabe6468493c5b87e29a10bef,-90,0,0
903905eb713245efbf1769456822fa5c,180,45,5
bfae6fa9a7f64b9eb16f57c05553c612,-90,0,0
2cf72e290a2e4849841df9d29905911e,90,0,0
4dd0239e30844be5a9dffdcde2bde844,-120,0,5
74b5c985f7a747fe9863f3b5f977a056,-90,0,0
1661929dfcbf4a829b8f81512a767f92,-90,-45,-5
663fd55d530c4f1abeefb92b7be45502,90,0,0
09b62c5be969464a99a58eb5160e3122,-90,0,0
5c5c3b9ae7874b709c10ac57dad33195,90,0,0
fa6cfc147c1c44ccb014e5c29cde27c9,-90,0,0
87e986b6a3784421a82b86f9a0977183,-90,0,0
826eeb384b644d278e78c802ac59fbc3,90,0,0
ad1c9d8e81b04e13bf4220675337f04f,-90,0,0
7d3689df8ca74f97a0bd70c3bc8f7619,90,0,-5
c65c0fae7d0e4bbca21839fb00dabb0f,-90,0,0
e2aba8bd92fb4247913614058408e4e8,-90,0,0
7c2fde254a1741a6b2b99d8d2adcfd1c,-90,0,0
